"rep","fold","r","RMSE","bias"
1,1,0.47815669492651,5.5014981159058,0.481411134831843
1,2,0.899603699939912,3.92134273931387,1.54426546004116
1,3,0.644535566352838,4.69087071124949,0.861467723593017
1,4,0.66359720945084,6.03454217957206,1.23918972069006
1,5,0.738256881584173,4.07847361772055,1.21918841130578
2,1,0.704734264951266,4.36966466082368,1.06083756351073
2,2,0.650900804947183,4.57486937884316,0.883202849553877
2,3,0.619997367913668,4.88108752225169,0.728778130158436
2,4,0.704150968655936,4.36078339719794,1.21276244376548
2,5,0.729418184503031,5.52023327821351,1.40968029564122
3,1,0.599281787301845,5.30829579901898,0.91218498855602
3,2,0.842217266380361,3.53753929071535,1.41950409937015
3,3,0.709320133595926,4.4786071513525,0.964308176242138
3,4,0.579832830192022,4.79595246009934,0.764221065241133
3,5,0.712886272630452,5.02058494872481,1.24049287966857
4,1,0.544798896269853,5.06136798309262,0.779951143705296
4,2,0.755212277042754,4.46592950854707,0.947192469272569
4,3,0.804522643196561,4.87639593513914,1.58264690595354
4,4,0.811324571116447,3.98846821219097,1.32037357481109
4,5,0.534510689850949,5.64260148724483,0.838854816121287
5,1,0.776138194869858,5.47111899605262,1.76650392352608
5,2,0.757812339553735,4.58530011170124,1.24029074210524
5,3,0.664993408297478,4.68452916465502,0.927336033927308
5,4,0.582532789181295,5.01156939840244,0.805753992630624
5,5,0.689906049131832,4.16105463653839,0.875653512309797
6,1,0.677792345054793,5.40216555874389,1.18526570802333
6,2,0.644876725547566,4.82924543244817,1.0637603716505
6,3,0.557894799460478,5.46132424859622,0.784522946883002
6,4,0.742823935782277,4.06167872541108,1.12129466014526
6,5,0.793944412165206,3.40894706565755,1.05835143450304
7,1,0.859603990132046,3.12960913085918,1.21194363124803
7,2,0.69155332910709,5.37403809195895,1.28216204604389
7,3,0.589004592209145,5.89375132793978,0.988586023500974
7,4,0.661166580279255,4.08552072479682,0.674234243659467
7,5,0.661500176489835,4.70873725803922,1.01845558980773
8,1,0.531115496734912,5.18000334548393,0.625235694859414
8,2,0.905179236341126,2.91285829497285,1.36625995611563
8,3,0.649214766174162,4.65730102742738,0.932012024486441
8,4,0.710620586775093,4.33016527123382,1.04774784054958
8,5,0.58479956527724,6.74872310609866,1.19441011333288
9,1,0.789966048406351,4.70231153973598,1.44275057308215
9,2,0.835578742966293,2.94262305942897,0.982960789789935
9,3,0.766437319029061,3.86595285596975,1.06412838302674
9,4,0.650239649849959,5.33390488869848,1.07946127542897
9,5,0.541422462914197,5.97209784706113,0.890786733124589
10,1,0.697358382907401,5.2135893929249,1.11020641069943
10,2,0.305799570213222,6.37114105644918,0.480478079450541
10,3,0.78767428183819,4.37763076936517,1.33370663203469
10,4,0.7115754190311,3.44905051758951,0.855908227382985
10,5,0.752530735709127,4.82280266433664,1.28951675636897
